,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
74,Hungary,0.83399999,HUN,East Europe,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
149,Sao Tome and Principe,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935549
107,Malta,0.85299999,MLT,WesternDem,24094.641,0.42500001192092896,5.800000190734862,8.489999800000001,25.9,9.749919891357422
94,Lebanon,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021
131,Pakistan (1971-),0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,69.30000305175781,0.039999999,22.6,2.613916397094727
89,"Korea, North",,PRK,EastAsia,1727.8199,,,3.3499999,,
75,Iceland,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707
61,Gabon,0.69400001,GAB,SubSaharian,14525.28,,42.400001525878906,8.8599997,,3.437471628189087
22,Solomon Islands,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
110,Mexico,0.75800002,MEX,Latam,13609.42,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915
14,Barbados,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.819999699999999,7.0,7.4693031311035165
125,Niger,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
70,Guinea,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
186,United States,0.91799998,USA,WesternDem,47769.699,318.7890014648438,6.0,8.819999699999999,18.1,17.140754699707028
163,South Sudan,0.42100000000000004,SSD,SubSaharian,,,,,,2.738420724868774
170,Tajikistan,0.625,TJK,East Europe,3592.6499,8.131999969482424,49.0,0.31999999,,6.8808841705322275
168,Switzerland,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431
17,Bolivia,0.6709999999999999,BOL,Latam,4023.8701,10.07800006866455,32.799999237060554,3.6199999,,6.334827423095702
176,Tunisia,0.72299999,TUN,NorthAfrica,6912.2798,,13.800000190734858,1.39,,7.003858089447022
142,Romania,0.79799998,ROU,East Europe,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465
190,Venezuela,0.76899999,VEN,Latam,10513.96,,13.100000381469732,6.4699998,,5.256702423095703
10,Bahamas,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.7423648834228525
39,Comoros,0.498,COM,SubSaharian,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927003
63,Gambia,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001000000004,,7.340400695800781
66,Kiribati,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
4,Angola,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959
192,Yemen,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
21,Belize,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,,5.788949966430664
52,El Salvador,0.67799997,SLV,Latam,332.26999,,13.600000381469732,2.52,,6.772402763366699
106,Mali,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121
82,Italy,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283
73,Honduras,0.62300003,HND,Latam,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
156,Slovakia,0.84200001,SVK,East Europe,21776.34,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691
158,Slovenia,0.88800001,SVN,East Europe,24456.561,2.0610001087188716,2.5,10.46,20.9,9.23388671875
7,Argentina,0.82599998,ARG,Latam,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176
164,Sudan (2012-),0.48800001,SDN,SubSaharian,,,,,,8.4287748336792
54,Ethiopia (1993-),0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
172,Togo,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695
191,Samoa,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961
78,Iran,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.100000381469732,0.029999999,11.7,6.8949222564697275
140,Timor-Leste,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.4753034114837649
97,Liberia,0.42699999,LBR,SubSaharian,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449
124,Nicaragua,0.64200002,NIC,Latam,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
187,Burkina Faso,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
47,Benin,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
153,Seychelles,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.199999809265142,9.7200003,26.700001,3.369816780090332
151,Senegal,0.491,SEN,SubSaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693
157,Vietnam,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.0667781829833975
16,Bhutan,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
53,Equatorial Guinea,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.8040790557861333
111,Monaco,,MCO,WesternDem,108481.13,,,,,4.337683200836182
132,Panama,0.78500003,PAN,Latam,15137.04,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426
126,Nigeria,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.300000200000001,8.8999996,3.668798446655273
60,Djibouti,0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
159,Somalia,,SOM,SubSaharian,1436.74,,,0.0,,
26,Burundi,0.40599999,BDI,SubSaharian,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737
20,Brazil,0.75400001,BRA,Latam,9815.2402,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576
11,Bahrain,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265138,1.5700001000000001,30.299999,4.980796337127686
103,Malawi,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
76,India,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
127,Norway,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
122,Vanuatu,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563
118,Namibia,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
167,Sweden,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063
3,Andorra,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
117,Oman,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
119,Nauru,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
96,Latvia,0.82800001,LVA,East Europe,16583.67,2.000999927520752,7.5999999046325675,10.37,35.900002,5.880693435668945
93,Laos,0.58200002,LAO,SouthEastAsia,2926.77,6.8979997634887695,54.0,5.3899999,34.0,1.8655455112457282
87,Jordan,0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
29,Cameroon,0.514,CMR,SubSaharian,2658.51,,61.099998474121094,6.1900001,18.799999,4.1036715507507315
108,Mauritania,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
18,Bosnia and Herzegovina,0.74699998,BIH,East Europe,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102
130,Palau,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
72,Haiti,0.49000001,HTI,Latam,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
129,Marshall Islands,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
133,Papua New Guinea,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522462
90,"Korea, South",0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.2999999523162837,9.3299999,27.4,7.373112678527832
188,Uruguay,0.79400003,URY,Latam,12804.84,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914
148,San Marino,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,,6.1290650367736825
